days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,D_5,D_6,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
3.0,16.0,6.0,48.0,480.0,60.0,7.0,100.0,200.0,60.0,1934.0,0.05,0.05,10.0,0.13,1068.0,1117.0,1153.0,1054.0,1106.0,1093.0,1170.0,0.8,5.73,0.79,3.23,1.71,5.86,1.75,2.86,2.04,2.27,4.03,0.0,3.98,1.23,2.34,2.75,3.56,2.78,3.23,3.91,4.06,0.0,2.44,2.96,4.15,0.51,2.52,1.04,1.6,0.0,8.05,2.44,5.8,5.47,0.81,7.46,2.16,2.26,6.36,6.69,4.26,3.42,2.91,5.2,5.58,4.29,5.2,6.04,0.29,0.56,2.43,0.86,0.0,3.97,3.92,5.69,0.44,4.95,2.07,4.05,4.64,2.56,2.92,2.09,4.7,4.26,6.48,3.35,3.41,5.48,4.03,1.12,1.24,2.07,2.15,1.11,2.02,4.43,3.08,6.88,0.0,5.09,5.6,0.0,0.77,0.0,3.26,3.91,2.56,2.57,3.82,4.37,3.05,5.52,0.77,0.56,3.81,3.42,3.63,0.37,100.0,100.0,100.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,1421.0,0.05,0.05,10.0,0.13,1055.0,1074.0,1081.0,1053.0,1113.0,1091.0,1099.0,2.47,20.31,6.04,12.69,7.64,21.46,10.11,9.4,9.15,9.84,15.47,0.19,14.74,6.67,8.99,10.52,13.73,12.23,11.97,17.33,15.54,0.0,10.67,14.56,15.32,4.22,11.78,6.45,5.87,3.18,27.71,10.29,21.61,17.87,3.09,27.1,10.06,10.76,23.81,23.29,14.02,11.97,13.11,18.19,21.5,15.4,18.24,21.77,3.44,5.22,8.2,4.98,0.0,14.92,13.49,18.04,5.28,17.72,7.75,14.15,18.0,9.79,12.33,8.97,16.46,15.21,23.48,12.1,12.27,18.87,16.07,7.36,6.21,6.07,9.83,6.86,9.36,18.11,12.43,27.22,1.19,18.47,19.67,0.0,4.57,0.0,12.92,14.7,11.95,9.9,14.74,15.68,9.4,21.52,5.58,2.94,14.47,14.24,13.73,4.41,,,,,,,1.22
,,,,,,,,200.0,60.0,107.0,0.05,0.05,10.0,0.13,1155.0,1076.0,1140.0,1100.0,1133.0,1077.0,1117.0,9.6,46.17,16.3,33.7,20.9,48.63,31.88,25.2,20.63,23.33,33.26,7.57,40.29,19.6,31.54,17.32,32.49,30.69,24.97,43.92,42.71,0.0,32.45,35.39,34.99,14.23,29.62,15.72,17.04,16.38,65.72,27.84,41.14,43.1,11.83,61.73,26.58,29.04,54.12,53.28,34.78,32.48,32.3,40.06,44.99,34.58,37.9,43.64,11.35,20.93,20.24,14.37,0.0,35.81,32.56,40.92,19.12,43.1,18.99,34.13,41.2,24.17,26.91,26.83,38.4,39.35,56.23,26.27,31.77,40.38,37.05,23.21,22.29,14.85,24.66,20.13,26.05,39.69,32.1,60.68,8.45,40.72,46.96,0.79,8.36,7.63,31.59,38.12,31.53,27.79,31.89,36.98,24.35,51.0,12.94,10.62,38.07,36.78,37.34,17.13,,,,,,,1.26
,,,,,,,,200.0,60.0,647.0,0.05,0.05,10.0,0.13,1107.0,1148.0,1098.0,1052.0,1033.0,1121.0,1107.0,22.43,86.03,38.74,61.8,40.14,84.94,53.16,46.27,37.37,44.33,63.25,24.31,69.25,28.2,55.56,25.36,60.85,58.08,46.81,71.9,72.44,4.72,65.53,67.09,61.18,29.01,58.27,38.19,38.72,29.8,111.29,52.01,67.71,68.69,23.3,107.22,40.73,53.94,83.91,84.34,61.44,58.57,51.61,72.96,69.71,56.62,58.08,68.19,23.83,42.11,46.71,30.93,3.2,62.24,57.04,64.92,40.74,67.37,50.83,48.87,71.46,41.26,50.56,38.47,71.49,71.66,98.06,49.02,62.65,69.69,65.27,49.66,42.87,44.54,50.06,25.54,41.03,67.62,53.66,103.56,27.14,62.02,78.48,13.85,26.45,29.72,58.48,67.32,53.33,54.15,49.11,60.21,39.81,76.54,23.88,15.72,66.92,66.66,63.33,33.31,,,,,,,1.2
,,,,,,,,200.0,60.0,72.0,0.05,0.05,10.0,0.13,1163.0,1114.0,1105.0,1101.0,1059.0,1127.0,1123.0,51.24,114.48,65.46,73.08,57.67,106.24,72.54,72.37,61.95,52.14,91.25,43.36,94.86,24.45,78.7,44.94,86.27,87.04,73.06,103.88,87.69,11.85,93.43,90.65,87.09,44.1,82.01,53.83,55.09,39.59,135.16,69.47,79.83,81.1,49.06,153.34,43.77,76.24,113.12,106.65,89.79,88.37,66.66,93.71,90.11,78.18,76.46,97.37,25.34,67.57,69.27,40.62,16.32,79.96,81.98,61.9,47.11,88.86,63.57,60.18,78.04,72.92,62.95,51.06,106.96,103.49,126.63,77.01,81.43,82.21,83.29,74.84,66.05,57.6,79.9,24.34,57.14,90.98,69.87,132.91,42.15,78.67,93.96,25.27,51.98,49.51,80.84,88.05,75.63,71.62,56.44,80.21,60.17,84.48,42.72,22.31,83.87,98.4,83.45,37.57,,,,,,,1.12
,,,,,,,,200.0,60.0,362.0,0.05,0.05,10.0,0.13,1129.0,1095.0,1153.0,1099.0,1093.0,1124.0,1118.0,71.43,114.45,82.96,68.78,72.17,114.89,90.62,87.34,77.91,71.22,96.13,54.37,106.82,18.41,82.48,53.59,87.92,95.53,89.58,112.99,88.14,31.27,76.88,92.71,100.83,59.4,97.7,66.03,61.61,43.11,134.43,76.31,87.21,78.96,68.54,165.38,50.85,81.85,122.09,104.25,87.8,98.67,78.76,101.85,97.38,77.42,72.84,116.93,29.91,82.38,72.76,48.85,17.91,96.71,90.49,58.99,56.46,92.62,72.4,48.03,86.87,79.91,57.68,59.13,115.76,106.02,130.02,71.46,69.96,86.07,105.73,87.85,82.21,70.11,95.21,26.08,72.06,96.5,78.22,119.97,50.37,89.98,97.65,31.62,67.31,68.95,85.37,92.38,85.93,73.22,39.24,92.57,80.46,85.33,53.06,43.52,90.41,127.46,76.01,39.76,,,,,,,0.8
,,,,,,,,200.0,60.0,1287.0,0.05,0.05,10.0,0.13,,,,,,,,100.05,118.5,93.0,85.18,80.14,130.41,86.44,97.0,96.21,93.47,97.12,72.84,104.78,25.61,95.18,69.32,105.51,111.68,91.03,126.61,117.73,66.26,81.09,106.95,104.0,74.0,108.94,80.08,59.22,45.77,145.2,85.87,102.7,92.74,78.11,142.27,70.03,85.4,128.88,119.13,100.24,96.87,87.94,102.83,107.48,95.99,100.91,138.24,35.56,103.12,83.66,70.48,31.23,107.68,109.45,66.1,69.27,88.63,83.54,56.69,98.45,92.77,60.19,78.39,125.25,114.04,123.81,73.05,75.57,112.39,110.68,91.54,96.91,86.17,95.45,21.69,96.02,108.44,85.12,123.97,75.03,95.11,110.56,61.24,72.9,84.73,92.09,101.94,93.52,90.9,57.99,107.11,98.97,92.2,59.58,53.39,98.05,146.51,78.84,57.46,,,,,,,0.74
,,,,,,,,,,,,,,,,,,,,,,91.27,115.67,93.91,117.62,87.3,122.56,78.04,99.34,85.4,94.44,93.12,94.67,96.34,28.64,81.78,65.01,101.6,112.46,97.3,133.01,99.63,73.11,92.42,106.87,118.92,83.51,108.98,81.39,49.95,47.63,128.8,71.01,97.44,98.48,67.18,121.81,68.29,90.28,125.11,124.66,95.44,85.54,80.03,88.83,122.97,89.04,105.74,121.92,50.95,100.85,89.75,77.08,42.6,100.95,91.79,79.78,86.31,75.56,96.17,60.36,90.2,92.65,58.63,90.67,105.25,120.45,108.34,70.2,78.9,109.29,110.7,99.56,83.61,83.5,80.26,19.04,100.1,104.64,86.94,105.32,80.28,104.22,107.87,62.35,68.39,88.84,100.45,100.98,102.65,97.47,67.06,91.61,86.66,108.73,63.21,57.73,95.09,137.9,90.28,70.31,,,,,,,0.76
,,,,,,,,,,,,,,,,,,,,,,70.61,109.98,74.64,106.27,79.37,101.57,59.02,71.48,66.83,86.47,84.04,82.43,71.78,29.43,66.01,56.05,81.72,94.53,71.7,100.35,76.05,74.17,82.2,78.14,107.3,73.16,81.52,67.2,60.0,34.15,96.09,64.02,84.02,79.47,66.17,98.78,64.89,74.47,90.83,111.69,79.79,77.43,57.56,76.42,97.74,76.49,90.53,88.7,49.09,71.86,54.34,66.67,46.86,81.98,80.22,64.88,78.89,55.15,80.28,65.6,75.72,73.51,59.44,72.19,80.78,87.46,75.87,74.93,67.18,82.5,96.04,95.33,73.27,59.93,81.29,19.17,81.94,85.78,62.79,97.36,72.96,84.49,83.68,46.74,55.35,67.71,94.31,69.59,84.52,84.01,50.95,76.6,83.5,88.29,67.98,49.78,84.35,99.56,68.03,78.88,,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,45.45,58.15,52.84,63.84,39.31,60.37,25.54,35.65,47.72,48.21,47.29,48.3,39.05,26.83,38.4,36.87,49.31,52.69,40.4,68.49,49.99,39.49,50.71,47.06,59.62,48.53,39.63,40.28,34.23,22.84,45.34,34.9,46.46,48.21,44.74,62.22,44.85,34.27,51.64,65.08,50.35,48.49,32.07,40.8,67.81,44.74,48.0,50.44,31.61,44.8,34.83,48.14,27.79,48.85,45.15,44.37,42.49,43.76,46.39,39.02,43.41,46.55,39.87,38.41,43.31,50.41,42.14,55.0,41.37,50.75,58.92,51.82,46.18,36.88,58.67,18.84,51.22,49.21,44.04,66.75,46.41,54.73,43.12,37.81,41.64,41.71,57.31,45.22,41.32,54.47,33.45,53.66,58.91,41.74,42.01,32.42,46.1,58.57,41.6,45.5,,,,,,,1.02
